,sepal_length,sepal_width,petal_length,petal_width,target,tsne_1,tsne_2
66,5.6,3.0,4.5,1.5,versicolor,16.67393,0.7950509
67,5.8,2.7,4.1,1.0,versicolor,17.243319,2.6709116
68,6.2,2.2,4.5,1.5,versicolor,15.993227,-1.0956324
69,5.6,2.5,3.9,1.1,versicolor,18.16165,2.8238769
70,5.9,3.2,4.8,1.8,versicolor,14.079466,-1.1140891
71,6.1,2.8,4.0,1.3,versicolor,16.220242,2.480212
72,6.3,2.5,4.9,1.5,versicolor,14.572287,-1.5644122
73,6.1,2.8,4.7,1.2,versicolor,15.0644,0.3094982
74,6.4,2.9,4.3,1.3,versicolor,14.186327,1.4111849
75,6.6,3.0,4.4,1.4,versicolor,13.282966,1.2044204
76,6.8,2.8,4.8,1.4,versicolor,12.264486,0.4441397
77,6.7,3.0,5.0,1.7,versicolor,11.693828,-0.5776379
78,6.0,2.9,4.5,1.5,versicolor,15.286647,0.6487342
79,5.7,2.6,3.5,1.0,versicolor,18.233711,3.6058998
80,5.5,2.4,3.8,1.1,versicolor,18.552414,3.0038276
81,5.5,2.4,3.7,1.0,versicolor,18.637964,3.2382889
82,5.8,2.7,3.9,1.2,versicolor,17.435759,2.8299155
83,6.0,2.7,5.1,1.6,versicolor,13.527681,-2.2734585
84,5.4,3.0,4.5,1.5,versicolor,17.189737,0.7328817
85,6.0,3.4,4.5,1.6,versicolor,14.342261,0.030344125
86,6.7,3.1,4.7,1.5,versicolor,12.487323,0.6029304
87,6.3,2.3,4.4,1.3,versicolor,16.0875,-0.8167023
88,5.6,3.0,4.1,1.3,versicolor,17.06924,1.9275849
89,5.5,2.5,4.0,1.3,versicolor,18.186037,2.360456
90,5.5,2.6,4.4,1.2,versicolor,17.768547,1.444942
91,6.1,3.0,4.6,1.4,versicolor,14.745679,0.48603764
92,5.8,2.6,4.0,1.2,versicolor,17.584682,2.6127043
93,5.0,2.3,3.3,1.0,versicolor,19.282946,3.9123783
94,5.6,2.7,4.2,1.3,versicolor,17.572153,1.829452
95,5.7,3.0,4.2,1.2,versicolor,16.781385,1.8816482
96,5.7,2.9,4.2,1.3,versicolor,16.91038,1.7846185
97,6.2,2.9,4.3,1.3,versicolor,15.009613,1.4110954
98,5.1,2.5,3.0,1.1,versicolor,19.23499,4.151285
99,5.7,2.8,4.1,1.3,versicolor,17.20789,2.1548629
100,6.3,3.3,6.0,2.5,virginica,9.281588,-5.6296697
101,5.8,2.7,5.1,1.9,virginica,13.857464,-2.956911
102,7.1,3.0,5.9,2.1,virginica,7.9037867,-4.2357864
103,6.3,2.9,5.6,1.8,virginica,10.37876,-2.8444428
104,6.5,3.0,5.8,2.2,virginica,9.151981,-3.9261043
105,7.6,3.0,6.6,2.1,virginica,6.480007,-4.576828
106,4.9,2.5,4.5,1.7,virginica,18.460415,0.61043006
107,7.3,2.9,6.3,1.8,virginica,6.945623,-4.0580187
108,6.7,2.5,5.8,1.8,virginica,8.924336,-2.8238394
109,7.2,3.6,6.1,2.5,virginica,7.617266,-5.29506
110,6.5,3.2,5.1,2.0,virginica,11.019128,-3.8725379
111,6.4,2.7,5.3,1.9,virginica,11.212158,-2.8498874
112,6.8,3.0,5.5,2.1,virginica,9.364513,-4.0069165
113,5.7,2.5,5.0,2.0,virginica,14.202995,-3.2177489
114,5.8,2.8,5.1,2.4,virginica,13.654359,-3.7630847
115,6.4,3.2,5.3,2.3,virginica,10.465958,-4.6472855
116,6.5,3.0,5.5,1.8,virginica,10.2603245,-3.0994165
117,7.7,3.8,6.7,2.2,virginica,6.570233,-5.3368325
118,7.7,2.6,6.9,2.3,virginica,6.1009493,-4.4268765
119,6.0,2.2,5.0,1.5,virginica,15.146542,-2.1135716
120,6.9,3.2,5.7,2.3,virginica,8.662241,-4.638604
121,5.6,2.8,4.9,2.0,virginica,14.304438,-3.1277332
122,7.7,2.8,6.7,2.0,virginica,6.3036523,-4.4294477
123,6.3,2.7,4.9,1.8,virginica,13.024667,-1.8120306
124,6.7,3.3,5.7,2.1,virginica,8.969453,-4.504259
125,7.2,3.2,6.0,1.8,virginica,7.482605,-4.0810986
126,6.2,2.8,4.8,1.8,virginica,13.420573,-1.5375917
127,6.1,3.0,4.9,1.8,virginica,13.585467,-1.602384
128,6.4,2.8,5.6,2.1,virginica,9.813301,-3.30742
129,7.2,3.0,5.8,1.6,virginica,7.5572114,-3.6276014
130,7.4,2.8,6.1,1.9,virginica,7.0391974,-4.0285892
131,7.9,3.8,6.4,2.0,virginica,6.5878687,-5.3278365
132,6.4,2.8,5.6,2.2,virginica,9.732449,-3.4710522
133,6.3,2.8,5.1,1.5,virginica,12.662821,-1.589902
134,6.1,2.6,5.6,1.4,virginica,11.684221,-2.2939675
135,7.7,3.0,6.1,2.3,virginica,6.861952,-4.643337
136,6.3,3.4,5.6,2.4,virginica,9.8974495,-5.3694744
137,6.4,3.1,5.5,1.8,virginica,10.3869295,-3.1283479
138,6.0,3.0,4.8,1.8,virginica,13.875345,-1.4308317
139,6.9,3.1,5.4,2.1,virginica,9.463571,-4.2280188
140,6.7,3.1,5.6,2.4,virginica,9.319331,-4.7096257
141,6.9,3.1,5.1,2.3,virginica,10.195573,-4.456738
142,5.8,2.7,5.1,1.9,virginica,13.857464,-2.956911
143,6.8,3.2,5.9,2.3,virginica,8.511059,-4.783313
144,6.7,3.3,5.7,2.5,virginica,9.052478,-5.1451106
145,6.7,3.0,5.2,2.3,virginica,10.24365,-4.310505
146,6.3,2.5,5.0,1.9,virginica,12.807765,-2.3877642
147,6.5,3.0,5.2,2.0,virginica,10.859627,-3.5958006
148,6.2,3.4,5.4,2.3,virginica,10.445394,-5.240042
149,5.9,3.0,5.1,1.8,virginica,13.686683,-2.423724
